FormulaBomItemID,ProductFormulaRef,ItemRef,Quantity,SecondaryQuantity,Description,ItemTracingRef
336,53,1979,0.1700,,,
337,53,1922,0.0900,,,
338,53,2065,0.0200,,,
339,53,2213,0.0250,,,
340,53,2215,2.0000,,,
341,53,2216,1.0000,,,
342,53,2217,1.0000,,,
343,54,1879,0.0020,2.0000,,
344,54,1883,0.0030,3.0000,,
345,54,1888,0.0100,,,
346,54,1893,0.0030,3.0000,,
347,54,1901,0.0020,2.0000,,
348,54,1906,0.0070,7.0000,,
349,54,1917,0.0300,30.0000,,
350,54,2063,0.2530,,,
351,54,1860,0.5000,,,
352,54,1865,0.0230,,,
353,54,1873,0.1070,,,
354,54,1875,0.0600,,,
355,55,1877,0.0001,0.1000,,
356,55,1878,0.0001,0.1000,,
357,55,1892,0.0100,10.0000,,
358,55,1893,0.0010,1.0000,,
359,55,1902,0.0010,1.0000,,
360,55,1961,0.0001,,,
361,55,2038,0.0200,,,
362,55,1860,0.0500,,,
363,55,2182,0.0180,,,
364,55,2000,1.0000,,,
365,56,1889,0.0100,10.0000,,
366,56,1893,0.0100,10.0000,,
367,56,1895,0.0050,5.0000,,
368,56,1972,0.4000,400.0000,,
369,56,1864,0.3250,,,
370,56,1867,0.2500,250.0000,,
372,57,1898,1.0000,,,
373,57,2044,0.2590,259.0000,,
374,58,2106,0.1000,,,
375,58,2219,0.0010,,,
376,59,1953,0.0400,,,
377,59,1960,0.0150,15.0000,,
378,59,1977,0.0250,,,
379,59,2109,1.0000,,,
380,59,1859,2.0000,,,
381,59,2221,2.0000,,,
382,59,2179,0.0300,,,
383,59,2176,0.2500,,,
384,59,2171,0.2200,,,
385,59,2197,0.0600,,,
386,59,2011,1.0000,,,
389,60,1953,0.0500,,,
390,60,1960,0.0200,20.0000,,
391,60,1977,0.0350,,,
392,60,1923,0.2000,,,
393,60,2108,1.0000,,,
394,60,1859,2.0000,,,
395,60,2221,2.0000,,,
396,60,2179,0.0300,,,
397,60,2176,0.2500,,,
398,60,2197,0.0600,,,
399,60,2011,1.0000,,,
402,61,1953,0.0500,,,
403,61,1960,0.0200,20.0000,,
404,61,1977,0.0350,,,
405,61,1923,0.0900,,,
406,61,2109,1.0000,,,
407,61,1859,2.0000,,,
408,61,2221,2.0000,,,
409,61,2179,0.0300,,,
410,61,2176,0.2500,,,
411,61,2171,0.1300,,,
412,61,2197,0.0600,,,
413,61,2011,1.0000,,,
416,63,1953,0.0500,,,
417,63,1960,0.0200,20.0000,,
418,63,1977,0.0350,,,
