UserAccessID,UserRef,LogicalResource,HasAccess
391,2,General.ToDoList.SoftwareUsageReport,True
392,2,Framework.ReportGenerator.ReportGenerator,True
393,2,Framework.ReportGenerator.ReportGenerator.BalanceSheet,True
394,2,Framework.ReportGenerator.ReportGenerator.e63399db-a0fa-4f84-8d03-291bab92fba9,True
395,2,Framework.ReportGenerator.ReportGenerator.Voucher,True
396,2,Framework.ReportGenerator.ReportGenerator.Voucher_GL,True
397,2,Framework.ReportGenerator.ReportGenerator.Voucher_GL_SL_DL,True
398,2,Framework.ReportGenerator.ReportGenerator.Voucher_RowNum,True
399,2,Framework.ReportGenerator.ReportGenerator.VoucherCustomizable,True
400,2,Framework.ReportGenerator.ReportGenerator.LedgerSummary,True
401,2,Framework.ReportGenerator.ReportGenerator.GL_Note,True
402,2,Framework.ReportGenerator.ReportGenerator.GL_SL_Note,True
403,2,Framework.ReportGenerator.ReportGenerator.GLVoucher,True
404,2,Framework.ReportGenerator.ReportGenerator.SLsWithCurrencyAndNoTransaction,True
405,2,Framework.ReportGenerator.ReportGenerator.SLsWithCurrBalAndNoBaseCurrBal,True
406,2,Framework.ReportGenerator.ReportGenerator.Journal,True
407,2,Framework.ReportGenerator.ReportGenerator.Journal2,True
408,2,Framework.ReportGenerator.ReportGenerator.DL_Note,True
409,2,Framework.ReportGenerator.ReportGenerator.SL_Note,True
410,2,Framework.ReportGenerator.ReportGenerator.SL_DL_Note,True
411,2,Framework.ReportGenerator.ReportGenerator.GL_BaseOn_GLVoucher,True
412,2,Framework.ReportGenerator.ReportGenerator.Journal_BaseOn_GLVoucher,True
413,2,Framework.ReportGenerator.ReportGenerator.NotInFiscalYearDocs,True
414,2,Framework.ReportGenerator.ReportGenerator.BillReport,True
415,2,Framework.ReportGenerator.ReportGenerator.BillDetailReport,True
416,2,Framework.ReportGenerator.ReportGenerator.PartyBuyAndSale,True
417,2,Framework.ReportGenerator.ReportGenerator.PartyBuyAndSaleInGenereal,True
418,2,Framework.ReportGenerator.ReportGenerator.PartyBillReport,True
419,2,Framework.ReportGenerator.ReportGenerator.VatReport,True
420,2,Framework.ReportGenerator.ReportGenerator.InventoryReceiptReport,True
421,2,Framework.ReportGenerator.ReportGenerator.InventoryReceiptReportA5,True
422,2,Framework.ReportGenerator.ReportGenerator.InventoryReceiptReturnReport,True
423,2,Framework.ReportGenerator.ReportGenerator.InventoryDeliveryReport,True
424,2,Framework.ReportGenerator.ReportGenerator.InventoryDeliveryPermission,True
425,2,Framework.ReportGenerator.ReportGenerator.InventoryDeliveryPermissionA5,True
426,2,Framework.ReportGenerator.ReportGenerator.InventoryDeliveryReturnReport,True
427,2,Framework.ReportGenerator.ReportGenerator.PurchaseSeason,True
