ElementId,Title,Title_En,Class,Type,NormalType,AccountRef,DlType,InsuranceCoverage,Taxable,UnrelatedToWorkingTime,CalculateForMinWorkingTime,CalculateForMinBase,Coefficient,FixPoint,DenominatorsType,Denominators,SavingRemainder,IsActive,DisplayOrder,Version,Creator,CreationDate,LastModifier,LastModificationDate,PaymentAccountRef,PaymentDlType,ElementTaxType
-350,روزهاي ماليات ماه جاري,روزهاي ماليات ماه جاري,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,350,1,1,2018-03-05 13:34:03.243000,1,2018-03-05 13:34:03.243000,,,0
-345,جمع درآمد مشمول ماليات سال,جمع درآمد مشمول ماليات سال,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,345,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-340,جمع عوامل معاف از ماليات ماه جاري,جمع عوامل معاف از ماليات ماه جاري,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,340,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-335,جمع عوامل معاف از ماليات ماه هاي قبل,جمع عوامل معاف از ماليات ماه هاي قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,335,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-330,درآمد مشمول ماليات ماه جاري,درآمد مشمول ماليات ماه جاري,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,330,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-325,درآمد غير مستمر مشمول ماليات,درآمد غير مستمر مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,325,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-324,ميزان سهم معافيت عوامل مستمر و غير مستمر,ميزان سهم معافيت عوامل مستمر و غير مستمر,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,324,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-323,ميزان سهم معافيت انگيزشي,ميزان سهم معافيت انگيزشي,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,323,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-322,بازخريد خدمت محاسبه شده,بازخريد خدمت محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,322,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-321,خسارت اخراج محاسبه شده,خسارت اخراج محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,321,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
