LookupRef,LocaleName,Title
40400,en,Product Pack
40401,en,Aggregate Items In Invoice
40402,ar,النسبة المئوية
40402,en,Percent
40402,ku,لەسەد
40403,ar,نقود
40403,en,Price
40403,ku,پارە
40404,en,AnotherItem
40405,ar,المنتج المعبأ
40405,en,ProductPack
40405,ku,بەستەي بەرھەمەكان
40406,en,SameItem
40407,en,FromItemGroup
40408,ar,السعر
40408,en,Price
40408,ku,يەكەي
40409,ar,عدد / مبلغ
40409,en,Quantity
40409,ku,دەستە/ رادە
40410,ar,خطي
40410,en,Linear
40410,ku,خەتي
40411,ar,خطوة خطوة
40411,en,Stepped
40411,ku,پليكاني
40412,en,
40413,en,Registered
40414,en,Dismissed
40415,en,Ready To Distribute
40416,en,Distributing
40417,en,Distributed
40418,en,Register Distribution
40419,en,Ready To Distribute
40420,en,Return From Ready To Distribute
40421,en,Send To Device
40422,en,Delete From Device
40423,en,Finish In Device
40424,en,Unlock Distribution
40425,en,Dismiss
40426,en,Revoke Dismiss
40427,en,Revoke Dismiss
40428,en,
40429,en,Delivered
40430,en,Not Delivered
40431,en,
40432,en,Received
40433,en,Not Received
40434,en,
40435,en,Registered
40436,en,Dismissed
40437,en,Ready To Collect
40438,en,Collecting
40439,en,Collected
40440,en,Register Debt Collection List
40441,en,Ready To Collect
40442,en,Return From Ready To Collect
40443,en,Send To Device
40444,en,Delete From Device
40445,en,Finish In Device
40446,en,Unlock Debt Collection List
40447,en,Dismiss
40448,en,Revoke Dismiss
40449,en,Revoke Dismiss
40450,en,
40451,en,Registered
40452,en,Dismissed
40453,en,Ready To Distribute
40454,en,Distributing
40455,en,Distributed
40456,en,
40457,en,Invoice
40458,en,RetuenedInvoice
40459,en,Register Distribution
40460,en,Issue Inventory Delivery
40461,en,Delete Inventory Delivery
40462,en,Send To Device
40463,en,Delete From Device
40464,en,Finish In Device
40465,en,Unlock Distribution
40466,en,Dismiss
40467,en,Revoke Dismiss
40468,en,Revoke Dismiss
40469,ar,أعلى إلى أسفل
40469,en,Top To Buttom
40469,ku,سەرەوە بۆ خوار
40470,ar,من اليمين إلى اليسار
40470,en,Left To Right
40470,ku,راست بۆ چەپ
40471,en,NoMethod
40472,en,StraightLine
40473,en,Descending
40474,ar, التحذير في حالة ازدياد البقية من ائتمان الحساب
40474,en,Warning
40475,ar,منع العملية  في حالة ازدياد البقية من ائتمان الحساب
40475,en,Deny
40476,ar,لا شيء
40476,en,None
40477,ar,مبيعات
40477,en,Sale
40477,ku,فرۆش
40478,ar,الاستهلاك
40478,en,Consume
40478,ku,بەكارهێنان
40479,ar,الآخر
40479,en,Other
40479,ku,ديكە
40480,ar,التحويل بين مستودعات
40480,en,Inventory Transfer
40480,ku,گواستنەوەي نێوان كۆگا
40481,ar,الشراء
40481,en,Purchase
40481,ku,كڕين
40482,ar,الإنتاج
40482,en,Production
40482,ku,وەبەرهێنان
40483,ar,الآخر
40483,en,Other
40483,ku,ديكە
40484,ar,بداية الفترة
40484,en,Opening
40484,ku,سەرەتاي خولەكە
40485,ar,التحويل بين مستودعات
40485,en,Inventory Transfer
40485,ku,گواستنەوەي نێوان كۆگا
40486,ar,ايصال
40486,en,Receipt
40486,ku,رەسيد
40487,ar,عودة الايصال
40487,en,Receipt Return
40487,ku,گەڕانەوەي رەسيد
40488,ar,خروج
40488,en,Delivery
40488,ku,دەرچوون
40489,ar,إعادة الخروج 
40489,en,Delivery Return
40489,ku,گەڕانەوەي دەرچوون
40490,ar,فاتورة خدمات ترتيب
40490,en,Service Inventory Purchase Invoice
40490,ku,پسولەي كڕيني خزمەتگوزارييەكان
40491,ar,الشراء (الداخلية)
40491,en,Purchase (Domestic)
40491,ku,كڕين( ناوخۆ)
40492,ar,الشراء (المستوردة)
40492,en,Purchase (Import)
40492,ku,كڕيني (ده‌ره‌كي)
40493,ar,المستودع
40493,en,Inventory
40493,ku,كۆگا
40494,ar,العقد
40494,en,Contract
40494,ku,گرێبەست
40495,ar,رصيد المخزون
40495,en,Balancing
40495,ku,پشكنيني كۆگا
40496,ar,الإنتاج
40496,en,Work Order
40496,ku,وەبەرهێنان
40497,ar,ItemRequest
40497,en,ItemRequest
40497,ku,ItemRequest
40498,ar,دون العلامة
40498,en,UnTagged
40498,ku,بێ تەگ
40499,ar,لها العلامة
40499,en,Tagged
40499,ku,خاوەني تەگ
40500,ar,موافق العدد
40500,en,Accepted Counting
40500,ku,ئەرێ كردني ژماردن
40501,ar,تسجيل الوثالئق الاقتطاعية /إضافية
40501,en,Difference Documents Issued
40501,ku,تۆماري بەڵگەنامە كەميەكان/ زيادە
40502,ar,تسجيل وثائق المحاسبة تتعارض
40502,en,Difference Voucher Issued
40502,ku,تۆماري بەڵگەنامە ژمێريارييەكاني جياوازيي
40503,ar,عادي
40503,en,Normal
40503,ku,ئاسايي
40504,ar,الخدمات
40504,en,Service
40504,ku,خزمەتگوزارييەكان
40505,en,Asset purchase
40506,en,
40507,ar,OtherUnallocatedCostsOfThePreviousFiscalyear
40507,en,OtherUnallocatedCostsOfThePreviousFiscalyear
40507,ku,OtherUnallocatedCostsOfThePreviousFiscalyear
40508,ar,OtherCosts
40508,en,OtherCosts
40508,ku,OtherCosts
40509,ar,مقداري
40509,en,Unit
40509,ku,مقداري
40510,ar,مبلغي
40510,en,Price
40510,ku,مبلغي
40511,ar,به نسبت مساوي
40511,en,Equal
40511,ku,به نسبت مساوي
40512,ar,دستي
40512,en,Custom
40512,ku,دستي
40513,ar,br110
40513,en,br110
40513,ku,br110
40514,ar,br300
40514,en,br300
40514,ku,br300
40515,ar,br600
40515,en,br600
40515,ku,br600
40516,ar,br1200
40516,en,br1200
40516,ku,br1200
40517,ar,br2400
40517,en,br2400
40517,ku,br2400
40518,ar,br4800
40518,en,br4800
40518,ku,br4800
40519,ar,br9600
40519,en,br9600
40519,ku,br9600
40520,ar,br14400
40520,en,br14400
40520,ku,br14400
40521,ar,br19200
40521,en,br19200
40521,ku,br19200
40522,ar,br38400
40522,en,br38400
40522,ku,br38400
40523,ar,br56000
40523,en,br56000
40523,ku,br56000
40524,ar,br57600
40524,en,br57600
40524,ku,br57600
40525,ar,br115200
40525,en,br115200
40525,ku,br115200
40526,ar,br128000
40526,en,br128000
40526,ku,br128000
40527,ar,br256000
40527,en,br256000
40527,ku,br256000
40528,ar,brCustom
40528,en,brCustom
40528,ku,brCustom
40529,ar,db4
40529,en,db4
40529,ku,db4
40530,ar,db5
40530,en,db5
40530,ku,db5
40531,ar,db6
40531,en,db6
40531,ku,db6
40532,ar,db7
40532,en,db7
40532,ku,db7
40533,ar,db8
40533,en,db8
40533,ku,db8
40534,ar,ABKOOHM
40534,en,ABKOOHM
40534,ku,ABKOOHM
40535,ar,ABKOOHCH
40535,en,ABKOOHCH
40535,ku,ABKOOHCH
