Database: Sepidar01
================================================================================
Schema.Table                                       | Records    | File
RPA.PartyAccountSettlement                           |          0 | table_exports2\RPA_PartyAccountSettlement.csv
RPA.PosSettlement                                    |          0 | table_exports2\RPA_PosSettlement.csv
RPA.PosBalance                                       |          0 | table_exports2\RPA_PosBalance.csv
RPA.Pos                                              |          2 | table_exports2\RPA_Pos.csv
RPA.ReceiptChequeBanking                             |          0 | table_exports2\RPA_ReceiptChequeBanking.csv
RPA.ReceiptCheque                                    |          0 | table_exports2\RPA_ReceiptCheque.csv
RPA.PartyAccountSettlementItem                       |          0 | table_exports2\RPA_PartyAccountSettlementItem.csv
RPA.PosSettlementReceipt                             |          0 | table_exports2\RPA_PosSettlementReceipt.csv
RPA.RefundCheque                                     |          6 | table_exports2\RPA_RefundCheque.csv
RPA.AccountType                                      |         11 | table_exports2\RPA_AccountType.csv
RPA.Bank                                             |         33 | table_exports2\RPA_Bank.csv
RPA.BankAccount                                      |         17 | table_exports2\RPA_BankAccount.csv
RPA.BankBill                                         |          0 | table_exports2\RPA_BankBill.csv
RPA.BankAccountBalance                               |          0 | table_exports2\RPA_BankAccountBalance.csv
RPA.RefundChequeItem                                 |          7 | table_exports2\RPA_RefundChequeItem.csv
RPA.BankBillItem                                     |          0 | table_exports2\RPA_BankBillItem.csv
RPA.BankBranch                                       |          9 | table_exports2\RPA_BankBranch.csv
RPA.Cash                                             |          1 | table_exports2\RPA_Cash.csv
RPA.DocSpecification                                 |          0 | table_exports2\RPA_DocSpecification.csv
RPA.ChequeBook                                       |          3 | table_exports2\RPA_ChequeBook.csv
RPA.CashBalance                                      |          0 | table_exports2\RPA_CashBalance.csv
RPA.PaymentChequeBankingItem                         |         22 | table_exports2\RPA_PaymentChequeBankingItem.csv
RPA.PaymentCheque                                    |         52 | table_exports2\RPA_PaymentCheque.csv
RPA.PaymentChequeBanking                             |         22 | table_exports2\RPA_PaymentChequeBanking.csv
SLS.QuotationItem                                    |          0 | table_exports2\SLS_QuotationItem.csv
SLS.PriceNoteItem                                    |          1 | table_exports2\SLS_PriceNoteItem.csv
SLS.ItemDiscount                                     |          0 | table_exports2\SLS_ItemDiscount.csv
SLS.ProductPackDiscount                              |          0 | table_exports2\SLS_ProductPackDiscount.csv
SLS.Quotation                                        |          0 | table_exports2\SLS_Quotation.csv
SLS.PriceNote                                        |          1 | table_exports2\SLS_PriceNote.csv
SLS.InvoiceReceiptInfo                               |          0 | table_exports2\SLS_InvoiceReceiptInfo.csv
SLS.InvoiceItem                                      |      41268 | table_exports2\SLS_InvoiceItem.csv
SLS.InvoiceBroker                                    |       2267 | table_exports2\SLS_InvoiceBroker.csv
SLS.CommissionCalculationXMLResult                   |          0 | table_exports2\SLS_CommissionCalculationXMLResult.csv
SLS.InvoiceReceiptChequeInfo                         |          0 | table_exports2\SLS_InvoiceReceiptChequeInfo.csv
SLS.Invoice                                          |      16604 | table_exports2\SLS_Invoice.csv
SLS.CommissionArea                                   |          0 | table_exports2\SLS_CommissionArea.csv
SLS.ReturnedInvoiceCommissionBroker                  |          0 | table_exports2\SLS_ReturnedInvoiceCommissionBroker.csv
SLS.InvoiceReceiptPosInfo                            |          0 | table_exports2\SLS_InvoiceReceiptPosInfo.csv
SLS.QuotationItemAdditionFactor                      |          0 | table_exports2\SLS_QuotationItemAdditionFactor.csv
SLS.CommissionCalculationInvoice                     |          0 | table_exports2\SLS_CommissionCalculationInvoice.csv
SLS.ReturnedInvoiceItemAdditionFactor                |          0 | table_exports2\SLS_ReturnedInvoiceItemAdditionFactor.csv
SLS.CommissionCalculationItem                        |          0 | table_exports2\SLS_CommissionCalculationItem.csv
SLS.Commission                                       |          0 | table_exports2\SLS_Commission.csv
SLS.InvoiceItemAdditionFactor                        |          0 | table_exports2\SLS_InvoiceItemAdditionFactor.csv
SLS.CommissionBroker                                 |          0 | table_exports2\SLS_CommissionBroker.csv
SLS.ItemAdditionFactor                               |          0 | table_exports2\SLS_ItemAdditionFactor.csv
SLS.CommissionCalculation                            |          0 | table_exports2\SLS_CommissionCalculation.csv
SLS.ReturnedInvoiceBroker                            |          0 | table_exports2\SLS_ReturnedInvoiceBroker.csv
SLS.ReturnedInvoice                                  |          0 | table_exports2\SLS_ReturnedInvoice.csv
SLS.AdditionFactor                                   |          0 | table_exports2\SLS_AdditionFactor.csv
SLS.ReturnedInvoiceItem                              |          0 | table_exports2\SLS_ReturnedInvoiceItem.csv
SLS.AdditionFactorItem                               |          0 | table_exports2\SLS_AdditionFactorItem.csv
SLS.SaleType                                         |          3 | table_exports2\SLS_SaleType.csv
SLS.QuotationCommissionBroker                        |          0 | table_exports2\SLS_QuotationCommissionBroker.csv
SLS.CustomsDeclarationItem                           |          0 | table_exports2\SLS_CustomsDeclarationItem.csv
SLS.DiscountQuantityItem                             |          0 | table_exports2\SLS_DiscountQuantityItem.csv
SLS.PriceNoteItemDiscount                            |          0 | table_exports2\SLS_PriceNoteItemDiscount.csv
