Database: Sepidar01
============================================================
Schema.Table                             | Records
GNR.vwTaxPayerUnit                       | 98
AST.vwRepair                             | 0
RPA.vwBankBillItem                       | 0
GNR.vwTaxPayerUnitMapper                 | 15
AST.vwRepairItem                         | 0
RPA.vwBankBranch                         | 12
GNR.vwTruck                              | 0
AST.vwRepairRelatedPurchaseInvoice       | 0
RPA.vwCash                               | 1
GNR.vwVat                                | 0
AST.vwSale                               | 0
RPA.vwCashBalance                        | 93
GNR.vwVendorOpeningBalance               | 96
AST.vwSaleItem                           | 0
RPA.vwCashBalanceFiscalYear              | 93
INV.vwAssetPurchaseInvoice               | 0
AST.vwSalvage                            | 0
RPA.vwChequeBook                         | 4
INV.vwAssetPurchaseInvoiceItem           | 0
AST.vwSalvageItem                        | 0
RPA.vwPartyAccountSettlement             | 0
INV.vwInventoryBalancing                 | 0
AST.vwTransfer                           | 0
RPA.vwPartyAccountSettlementCreditItem   | 0
INV.vwInventoryBalancingItem             | 0
AST.vwTransferItem                       | 0
RPA.vwPartyAccountSettlementDebitItem    | 0
INV.vwInventoryDelivery                  | 19908
AST.vwUnuseable                          | 0
RPA.vwPartySettlement                    | 0
INV.vwInventoryDeliveryItem              | 58807
AST.vwUnuseableItem                      | 0
RPA.vwPartySettlementItem                | 0
INV.vwInventoryDeliveryItemSerial        | 0
AST.vwUseable                            | 0
RPA.vwPaymentCheque                      | 57
INV.vwInventoryDeliveryReturn            | 0
AST.vwUseableItem                        | 0
RPA.vwPaymentChequeBanking               | 22
INV.vwInventoryDeliveryReturnItem        | 0
CNT.vwCoefficient                        | 14
RPA.vwPaymentChequeBankingItem           | 22
INV.vwInventoryDeliveryReturnItemSerial  | 0
CNT.vwContract                           | 0
RPA.vwPaymentChequeHistory               | 87
INV.vwInventoryPricing                   | 0
CNT.vwContractAgreementItem              | 0
RPA.vwPaymentChequeOther                 | 0
INV.vwInventoryPurchaseInvoice           | 15
CNT.vwContractCoefficientItem            | 0
RPA.vwPaymentDraft                       | 1369
INV.vwInventoryPurchaseInvoiceItem       | 46
CNT.vwContractCompromiseItem             | 0
RPA.vwPaymentHeader                      | 1328
INV.vwInventoryPurchaseInvoiceReceivedQuantities | 46
CNT.vwContractEmployerMaterialsItem      | 0
RPA.vwPettyCash                          | 0
INV.vwInventoryReceipt                   | 2884
CNT.vwContractGuarantee                  | 0
GNR.vwMarketingDisketteCurrency          | 142
RPA.vwPettyCashBill                      | 0
INV.vwInventoryReceiptItem               | 4887
CNT.vwContractHistory                    | 0
GNR.vwMarketingDisketteCurrencyMapper    | 5
RPA.vwPettyCashBillItem                  | 0
INV.vwInventoryReceiptItemSerial         | 0
CNT.vwContractPreReceiptItem             | 0
RPA.vwPos                                | 2
INV.vwInventoryReceiptOtherCostItem      | 0
CNT.vwContractPriceList                  | 0
RPA.vwPosBalance                         | 2
INV.vwInventoryReceiptReturn             | 11
CNT.vwContractSupportingInsurance        | 0
RPA.vwPosSettlement                      | 0
INV.vwInventoryReceiptReturnItem         | 13
CNT.vwContractType                       | 0
RPA.vwPosSettlementReceipt               | 0
INV.vwInventoryReceiptReturnItemSerial   | 0
CNT.vwContractWarrantyItem               | 0
RPA.vwReceiptCheque                      | 0
INV.vwInventoryWeighbridgeConfiguration  | 0
CNT.vwContractWorkshopItem               | 0
RPA.vwReceiptChequeBanking               | 0
INV.vwInventoryWeighing                  | 0
CNT.vwCost                               | 5
RPA.vwReceiptChequeBankingItem           | 0
INV.vwInvoiceInventoryDelivery           | 42655
CNT.vwCostStatement                      | 0
RPA.vwReceiptChequeHistory               | 0
INV.vwItem                               | 388
CNT.vwCostStatementItem                  | 0
RPA.vwReceiptDraft                       | 693
INV.vwItemPropertyAmount                 | 0
CNT.vwEmployerMaterialsItem              | 0
RPA.vwReceiptHeader                      | 727
INV.vwItemStock                          | 854
CNT.vwGuarantee                          | 0
RPA.vwReceiptPettyCash                   | 0
INV.vwItemStockSummary                   | 600
CNT.vwGuaranteeHistory                   | 0
