ItemID,Type,Code,Title,Title_En,BarCode,UnitRef,SecondaryUnitRef,SaleUnitRef,IsUnitRatioConstant,UnitsRatio,MinimumAmount,MaximumAmount,CanHaveTracing,TracingCategoryRef,IsPricingBasedOnTracing,TaxExempt,TaxExemptPurchase,Sellable,DefaultStockRef,PurchaseGroupRef,SaleGroupRef,CompoundBarcodeRef,ItemCategoryRef,Creator,CreationDate,LastModifier,LastModificationDate,Version,IsActive,AccountSLRef,IranCode,TaxRate,DutyRate,CodingGroupRef,SerialTracking,Weight,Volume,ConsumerFee
2089,1,1100024,برگر ويژه با بيكن,برگر ويژه با بيكن,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:32,10,2026-06-01 18:15:56,2,True,,,0.0000,0.0000,80,False,,,
2090,1,1100025,برگر دوبل سكه طلا,برگر دوبل سكه طلا,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:33,10,2026-06-01 18:16:06,2,True,,,0.0000,0.0000,80,False,,,
2091,1,1100026,برگر ويژه با فيله سوخاري,برگر ويژه با فيله سوخاري,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:33,10,2026-06-01 18:16:21,2,True,,,0.0000,0.0000,80,False,,,
2092,1,1100027,ساندويچ فيله سوخاري,ساندويچ فيله سوخاري,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:33,10,2026-06-01 18:17:01,2,True,,,0.0000,0.0000,80,False,,,
2093,1,1100028,فرانكفورتر سكه طلا,فرانكفورتر سكه طلا,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:34,10,2026-06-01 18:17:16,2,True,,,0.0000,0.0000,80,False,,,
2094,1,1100029,ساندويچ استيك,ساندويچ استيك,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:34,10,2026-06-01 18:17:28,2,True,,,0.0000,0.0000,80,False,,,
2095,1,1100030,ساندويچ زبان,ساندويچ زبان,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:34,10,2026-06-01 18:17:39,2,True,,,0.0000,0.0000,80,False,,,
2097,1,1100032,ساندويچ بوقلون,ساندويچ بوقلون,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:35,10,2026-06-01 18:18:11,2,True,,,0.0000,0.0000,80,False,,,
2098,1,1100033,ساندويچ بيكن,ساندويچ بيكن,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:35,10,2026-06-01 18:18:52,2,True,,,0.0000,0.0000,80,False,,,
2099,1,1100034,ساندويچ رست بيف,ساندويچ رست بيف,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:36,10,2026-06-01 18:19:07,2,True,,,0.0000,0.0000,80,False,,,
