ItemStockSummaryID,StockRef,ItemRef,TracingRef,Order,UnitRef,InputQuantity,OutputQuantity,Quantity,SaleQuantity,FiscalYearRef,SaleWithReserveQuantity,FeedFromClosingOperation
801,10,1929,,1,1,1506.7500,1091.5700,415.1800,0.0000,1,0.0000,False
802,10,2259,,1,1,20.0000,0.0000,20.0000,0.0000,1,0.0000,False
803,10,2263,,1,1,488.7000,413.7000,75.0000,0.0000,1,0.0000,False
804,10,1917,,1,1,21.6260,18.4342,3.1918,0.0000,1,0.0000,False
805,10,1895,,1,1,3.1860,0.0160,3.1700,0.0000,1,0.0000,False
806,10,1916,,1,1,2.9113,3.6580,-0.7467,0.0000,1,0.0000,False
807,10,1859,,1,2,198400.0000,164000.0000,34400.0000,0.0000,1,0.0000,False
808,10,2008,,1,1,138.4500,106.9500,31.5000,0.0000,1,0.0000,False
809,10,1931,,1,1,167.5500,169.0000,-1.4500,0.0000,1,0.0000,False
810,10,1908,,1,1,50.2000,43.7500,6.4500,0.0000,1,0.0000,False
811,10,2061,,1,5,124.1368,101.4409,22.6959,0.0000,1,0.0000,False
813,10,1885,,1,1,5.2102,3.5171,1.6931,0.0000,1,0.0000,False
814,10,2256,,1,1,19.8000,0.0000,19.8000,0.0000,1,0.0000,False
815,10,1893,,1,1,600.5757,463.2290,137.3467,0.0000,1,0.0000,False
816,10,2219,,1,1,0.1000,0.1000,0.0000,0.0000,1,0.0000,False
817,10,2024,,1,2,1395.0000,1339.0000,56.0000,0.0000,1,0.0000,False
818,10,2036,,1,2,900.0000,891.0000,9.0000,0.0000,1,0.0000,False
819,10,2139,,1,2,144.0000,96.0000,48.0000,0.0000,1,0.0000,False
820,10,2214,,1,1,167.3500,112.9500,54.4000,0.0000,1,0.0000,False
821,10,1892,,1,1,181.1300,122.2396,58.8904,0.0000,1,0.0000,False
822,10,1905,,1,1,99.0000,88.3000,10.7000,0.0000,1,0.0000,False
823,10,2027,,1,2,12.0000,6.0000,6.0000,0.0000,1,0.0000,False
824,10,2007,,1,2,5542.0000,2424.0000,3118.0000,0.0000,1,0.0000,False
825,10,2015,,1,2,468.0000,146.0000,322.0000,0.0000,1,0.0000,False
826,10,1898,,1,1,29.6200,20.4382,9.1818,0.0000,1,0.0000,False
827,10,2003,,1,1,187.8000,87.8000,100.0000,0.0000,1,0.0000,False
828,10,2260,,1,2,3.0000,2.0000,1.0000,0.0000,1,0.0000,False
829,10,2205,,1,1,43.0003,43.0003,0.0000,0.0000,1,0.0000,False
830,10,2037,,1,2,24.0000,2.0000,22.0000,0.0000,1,0.0000,False
831,10,2253,,1,1,2.0000,0.2751,1.7249,0.0000,1,0.0000,False
832,10,2019,,1,1,6.0000,1.0000,5.0000,0.0000,1,0.0000,False
833,10,2204,,1,1,11.7908,12.1752,-0.3844,0.0000,1,0.0000,False
834,10,2022,,1,2,9.0000,3.0000,6.0000,0.0000,1,0.0000,False
835,10,1911,,1,2,6000.0000,1700.0000,4300.0000,0.0000,1,0.0000,False
836,10,2002,,1,1,380.5300,254.0000,126.5300,0.0000,1,0.0000,False
837,10,1883,,1,1,7.0048,5.7856,1.2192,0.0000,1,0.0000,False
838,10,2021,,1,2,249000.0000,72160.0000,176840.0000,0.0000,1,0.0000,False
839,10,1910,,1,2,2000.0000,0.0000,2000.0000,0.0000,1,0.0000,False
840,10,2013,,1,2,14650.0000,16678.0000,-2028.0000,0.0000,1,0.0000,False
841,10,2023,,1,2,1264.0000,1118.0000,146.0000,0.0000,1,0.0000,False
842,10,2044,,1,5,143.9558,59.8816,84.0742,0.0000,1,0.0000,False
843,10,1991,,1,1,57.1000,48.8500,8.2500,0.0000,1,0.0000,False
844,10,2017,,1,1,22.2000,2.2000,20.0000,0.0000,1,0.0000,False
845,10,2211,,1,1,2.7000,2.6328,0.0672,0.0000,1,0.0000,False
846,10,2223,,1,8,100.0000,0.0000,100.0000,0.0000,1,0.0000,False
847,10,1879,,1,1,3.1353,0.9379,2.1974,0.0000,1,0.0000,False
