LocationId,Title,Title_En,Code,Parent,Type,Version,Creator,CreationDate,LastModifier,LastModificationDate,MinistryofFinanceCode,TaxFileCode
150,اسارا,اسارا,0261527,34,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,4900003,
151,اسلامشهر,اسلامشهر,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1002000,
152,اشتهارد,اشتهارد,0261772,34,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,4905000,
153,بومهن,بومهن,0221222,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1010106,
154,تهران,تهران,021,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1001000,
155,تجريش,تجريش,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1006101,
156,دماوند,دماوند,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1003000,
157,رودهن,رودهن,0221572,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1003101,
158,شهر ري,شهر ري,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1004000,
159,رباطكريم,رباطكريم,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1007200,
160,شهريار,شهريار,0262322,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1007000,
162,طالقان,طالقان,,34,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,4901100,
163,فارسان,فارسان,,11,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2504000,
164,لردگان,لردگان,,11,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2505000,
165,چلگرد,چلگرد,,11,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2504202,
166,اردل,اردل,,11,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2502000,
167,بروجن,بروجن,,11,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2503000,
168,سامان,سامان,,11,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2501103,
169,شهركرد,شهركرد,,11,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2501000,
170,لالي,لالي,0682322,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1615300,
171,مسجدسليمان,مسجدسليمان,0681,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1615000,
172,هنديجان,هنديجان,0652422,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1606400,
173,هويزه,هويزه,0612462,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1610300,
174,آبادان,آبادان,0631,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1602000,
175,اميديه,اميديه,0652322,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1606200,
176,انديمشك,انديمشك,,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1603000,
177,اهواز,اهواز,0611,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1601000,
178,ايذه,ايذه,0692522,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1604000,
180,بندرماهشهر,بندرماهشهر,,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1606000,
181,بندرامام خميني,بندرامام خميني,,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1606300,
182,بهبهان,بهبهان,0671,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1607000,
183,باغ ملك,باغ ملك,,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1605000,
