TaxTableItemId,FromAmount,ToAmount,Rate,TaxTableRef,InLineAmount,PartialAmount
63,29166668.0000,91666667.0000,15.00,14,11595833.0000,9375000.0000000000
64,91666668.0000,999999999.0000,17.50,14,170554166.0000,158958333.0000000000
65,1.0000,9999999999.0000,0.00,15,0.0000,0E-10
66,1.0000,10000000.0000,0.00,16,0.0000,0E-10
67,10000001.0000,70000000.0000,10.00,16,6000000.0000,6000000.0000000000
68,70000001.0000,999999999.0000,20.00,16,192000000.0000,186000000.0000000000
69,1.0000,10000000.0000,0.00,17,0.0000,0E-10
70,10000001.0000,70000000.0000,5.00,17,3000000.0000,3000000.0000000000
71,70000001.0000,999999999.0000,10.00,17,96000000.0000,93000000.0000000000
72,1.0000,9999999999.0000,0.00,18,0.0000,0E-10
73,1.0000,11500000.0000,0.00,19,0.0000,0E-10
74,11500001.0000,92000000.0000,10.00,19,8050000.0000,8050000.0000000000
75,92000001.0000,9999999999.0000,20.00,19,1989650000.0000,1981600000.0000000000
76,1.0000,11500000.0000,0.00,20,0.0000,0E-10
77,11500001.0000,92000000.0000,5.00,20,4025000.0000,4025000.0000000000
78,92000001.0000,9999999999.0000,10.00,20,994825000.0000,990800000.0000000000
79,1.0000,9999999999.0000,0.00,21,0.0000,0E-10
80,1.0000,13000000.0000,0.00,22,0.0000,0E-10
81,13000001.0000,91000000.0000,10.00,22,7800000.0000,7800000.0000000000
82,91000001.0000,9999999999.0000,20.00,22,1989600000.0000,1981800000.0000000000
83,1.0000,13000000.0000,0.00,23,0.0000,0E-10
84,13000001.0000,91000000.0000,5.00,23,3900000.0000,3900000.0000000000
85,91000001.0000,9999999999.0000,10.00,23,994800000.0000,990900000.0000000000
86,1.0000,9999999999.0000,0.00,24,0.0000,0E-10
87,1.0000,20000000.0000,0.00,25,0.0000,0E-10
88,20000001.0000,100000000.0000,10.00,25,8000000.0000,8000000.0000000000
89,100000001.0000,9999999999.0000,20.00,25,1988000000.0000,1980000000.0000000000
90,1.0000,20000000.0000,0.00,26,0.0000,0E-10
91,20000001.0000,100000000.0000,5.00,26,4000000.0000,4000000.0000000000
92,100000001.0000,9999999999.0000,10.00,26,994000000.0000,990000000.0000000000
93,1.0000,9999999999.0000,0.00,27,0.0000,0E-10
94,1.0000,23000000.0000,0.00,28,0.0000,0E-10
95,23000001.0000,92000000.0000,10.00,28,6900000.0000,6900000.0000000000
96,92000001.0000,115000000.0000,15.00,28,10350000.0000,3450000.0000000000
97,115000001.0000,161000000.0000,25.00,28,21850000.0000,11500000.0000000000
98,161000001.0000,9999999999.0000,35.00,28,3465500000.0000,3443649999.0000000000
99,1.0000,23000000.0000,0.00,29,0.0000,0E-10
100,23000001.0000,92000000.0000,5.00,29,3450000.0000,3450000.0000000000
101,92000001.0000,115000000.0000,7.50,29,5175000.0000,1725000.0000000000
102,115000001.0000,161000000.0000,12.50,29,10925000.0000,5750000.0000000000
103,161000001.0000,9999999999.0000,17.50,29,1732750000.0000,1721825000.0000000000
104,1.0000,9999999999.0000,0.00,30,0.0000,0E-10
105,1.0000,27500000.0000,0.00,31,0.0000,0E-10
106,27500001.0000,68750000.0000,10.00,31,4125000.0000,4125000.0000000000
107,68750001.0000,96250000.0000,15.00,31,8250000.0000,4125000.0000000000
108,96250001.0000,137500000.0000,20.00,31,16500000.0000,8250000.0000000000
109,137500001.0000,192500000.0000,25.00,31,30249999.0000,13750000.0000000000
110,192500001.0000,99999999999.0000,35.00,31,34962874999.0000,34932624999.0000000000
111,1.0000,27500000.0000,0.00,32,0.0000,0E-10
112,27500001.0000,68750000.0000,5.00,32,2062500.0000,2062500.0000000000
113,68750001.0000,96250000.0000,7.50,32,4125000.0000,2062500.0000000000
114,96250001.0000,137500000.0000,10.00,32,8250000.0000,4125000.0000000000
115,137500001.0000,192500000.0000,12.50,32,15125000.0000,6875000.0000000000
116,192500001.0000,99999999999.0000,17.50,32,17481437500.0000,17466312500.0000000000
117,1.0000,9999999999.0000,0.00,33,0.0000,0E-10
118,1.0000,30000000.0000,0.00,34,0.0000,0E-10
119,30000001.0000,75000000.0000,10.00,34,4500000.0000,4500000.0000000000
120,75000001.0000,105000000.0000,15.00,34,9000000.0000,4500000.0000000000
121,105000001.0000,150000000.0000,20.00,34,18000000.0000,9000000.0000000000
122,150000001.0000,99999999999.0000,25.00,34,24980500000.0000,24962500000.0000000000
123,1.0000,30000000.0000,0.00,35,0.0000,0E-10
124,30000001.0000,75000000.0000,5.00,35,2250000.0000,2250000.0000000000
125,75000001.0000,105000000.0000,7.50,35,4500000.0000,2250000.0000000000
126,105000001.0000,150000000.0000,10.00,35,9000000.0000,4500000.0000000000
127,150000001.0000,99999999999.0000,12.50,35,12490250000.0000,12481250000.0000000000
128,1.0000,9999999999.0000,0.00,36,0.0000,0E-10
129,1.0000,40000000.0000,0.00,37,0.0000,0E-10
130,40000001.0000,80000000.0000,10.00,37,4000000.0000,4000000.0000000000
131,80000001.0000,120000000.0000,15.00,37,10000000.0000,6000000.0000000000
132,120000001.0000,180000000.0000,20.00,37,22000000.0000,12000000.0000000000
133,180000001.0000,240000000.0000,25.00,37,37000000.0000,15000000.0000000000
134,240000001.0000,320000000.0000,30.00,37,61000000.0000,24000000.0000000000
