BrokerID,InvoiceRef,PartyRef,Commission,Rate,CommissionInBaseCurrency
965,8745,87,765000.0000,1.0000000000000000,765000.0000
966,8748,147,810000.0000,1.0000000000000000,810000.0000
967,8756,87,1080000.0000,1.0000000000000000,1080000.0000
968,8758,87,1800000.0000,1.0000000000000000,1800000.0000
969,8765,86,700000.0000,1.0000000000000000,700000.0000
970,8769,82,765000.0000,1.0000000000000000,765000.0000
971,8787,86,800000.0000,1.0000000000000000,800000.0000
972,8788,86,900000.0000,1.0000000000000000,900000.0000
973,8789,147,630000.0000,1.0000000000000000,630000.0000
974,8794,81,630000.0000,1.0000000000000000,630000.0000
975,8804,86,1000000.0000,1.0000000000000000,1000000.0000
976,8811,81,1080000.0000,1.0000000000000000,1080000.0000
977,8821,86,1000000.0000,1.0000000000000000,1000000.0000
978,8828,80,810000.0000,1.0000000000000000,810000.0000
979,8836,80,1170000.0000,1.0000000000000000,1170000.0000
980,8838,80,810000.0000,1.0000000000000000,810000.0000
981,8841,147,810000.0000,1.0000000000000000,810000.0000
982,8843,86,850000.0000,1.0000000000000000,850000.0000
983,8861,82,720000.0000,1.0000000000000000,720000.0000
984,8874,147,765000.0000,1.0000000000000000,765000.0000
985,8879,80,675000.0000,1.0000000000000000,675000.0000
986,8906,81,720000.0000,1.0000000000000000,720000.0000
987,8910,82,765000.0000,1.0000000000000000,765000.0000
988,8919,80,720000.0000,1.0000000000000000,720000.0000
989,8922,87,900000.0000,1.0000000000000000,900000.0000
990,8924,87,765000.0000,1.0000000000000000,765000.0000
991,8935,81,900000.0000,1.0000000000000000,900000.0000
992,8966,86,900000.0000,1.0000000000000000,900000.0000
993,8973,147,765000.0000,1.0000000000000000,765000.0000
994,8983,81,765000.0000,1.0000000000000000,765000.0000
995,9002,86,750000.0000,1.0000000000000000,750000.0000
996,9005,147,900000.0000,1.0000000000000000,900000.0000
997,9009,82,630000.0000,1.0000000000000000,630000.0000
998,9018,81,810000.0000,1.0000000000000000,810000.0000
999,9019,82,720000.0000,1.0000000000000000,720000.0000
1000,9021,80,765000.0000,1.0000000000000000,765000.0000
1001,9031,80,855000.0000,1.0000000000000000,855000.0000
1002,9037,81,900000.0000,1.0000000000000000,900000.0000
1003,9048,87,765000.0000,1.0000000000000000,765000.0000
