AccountTopicId,AccountSLRef,TopicRef,Version,Creator,CreationDate,LastModifier,LastModificationDate
288,749,150,2,1,2024-06-19 14:37:21,1,2024-06-19 14:37:26
289,750,150,1,1,2024-06-19 14:37:44,1,2024-06-19 14:37:44
290,751,150,1,1,2024-06-19 14:38:12,1,2024-06-19 14:38:12
291,752,160,1,1,2024-06-19 14:40:22,1,2024-06-19 14:40:22
292,753,160,1,1,2024-06-19 14:41:35,1,2024-06-19 14:41:35
293,754,160,1,1,2024-06-19 14:42:29,1,2024-06-19 14:42:29
294,755,160,1,1,2024-06-19 14:43:38,1,2024-06-19 14:43:38
295,756,160,1,1,2024-06-19 14:46:38,1,2024-06-19 14:46:38
296,757,150,1,1,2024-06-19 14:46:54,1,2024-06-19 14:46:54
297,758,140,1,1,2024-06-19 14:47:47,1,2024-06-19 14:47:47
298,759,140,1,1,2024-06-19 14:48:13,1,2024-06-19 14:48:13
299,760,140,1,1,2024-06-19 14:48:52,1,2024-06-19 14:48:52
300,761,140,1,1,2024-06-19 14:49:15,1,2024-06-19 14:49:15
301,762,140,1,1,2024-06-19 14:50:56,1,2024-06-19 14:50:56
302,763,150,1,1,2024-06-19 14:51:17,1,2024-06-19 14:51:17
303,764,165,1,1,2024-06-19 14:51:58,1,2024-06-19 14:51:58
304,765,165,1,1,2024-06-19 14:52:17,1,2024-06-19 14:52:17
305,766,165,1,1,2024-06-19 14:52:35,1,2024-06-19 14:52:35
306,767,165,1,1,2024-06-19 14:53:10,1,2024-06-19 14:53:10
307,656,25,1,1,2024-06-19 14:54:22,1,2024-06-19 14:54:22
308,780,30,1,1,2024-06-19 14:58:59,1,2024-06-19 14:58:59
309,783,60,1,1,2024-06-19 15:00:19,1,2024-06-19 15:00:19
310,784,55,1,1,2024-06-19 15:02:37,1,2024-06-19 15:02:37
311,786,25,1,1,2024-06-19 15:03:18,1,2024-06-19 15:03:18
312,787,25,1,1,2024-06-19 15:03:49,1,2024-06-19 15:03:49
313,788,20,1,1,2024-06-19 15:04:17,1,2024-06-19 15:04:17
314,789,5,1,1,2024-06-19 15:04:41,1,2024-06-19 15:04:41
315,790,5,1,1,2024-06-19 15:05:03,1,2024-06-19 15:05:03
316,791,5,1,1,2024-06-19 15:05:55,1,2024-06-19 15:05:55
317,792,5,1,1,2024-06-19 15:06:16,1,2024-06-19 15:06:16
318,793,5,1,1,2024-06-19 15:06:53,1,2024-06-19 15:06:53
319,794,5,1,1,2024-06-19 15:07:08,1,2024-06-19 15:07:08
320,795,15,1,1,2024-06-19 15:08:02,1,2024-06-19 15:08:02
321,796,15,1,1,2024-06-19 15:09:03,1,2024-06-19 15:09:03
322,797,55,1,1,2024-06-19 15:10:10,1,2024-06-19 15:10:10
323,851,20,1,1,2024-06-19 15:11:20,1,2024-06-19 15:11:20
324,853,25,1,1,2024-06-19 15:12:33,1,2024-06-19 15:12:33
345,884,170,1,1,2024-06-19 15:17:13,1,2024-06-19 15:17:13
346,886,145,2,1,2024-06-19 15:18:19,1,2024-06-19 15:24:27
347,887,145,1,1,2024-06-19 15:19:28,1,2024-06-19 15:19:28
365,799,15,1,1,2024-06-19 15:26:17,1,2024-06-19 15:26:17
366,801,130,1,1,2024-06-19 15:27:06,1,2024-06-19 15:27:06
367,802,125,1,1,2024-06-19 15:27:33,1,2024-06-19 15:27:33
368,803,125,1,1,2024-06-19 15:28:03,1,2024-06-19 15:28:03
369,804,125,1,1,2024-06-19 15:28:35,1,2024-06-19 15:28:35
370,805,125,1,1,2024-06-19 15:28:57,1,2024-06-19 15:28:57
