MarketingDisketteCurrencyID,Code,Ttile,Version,Creator,CreationDate,LastModifier,LastModificationDate
111,800,شيلينگ اوگاندا-UGX,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
112,807,دنار مقدونيه-MKD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
113,818,پوند مصر-EGP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
114,826,پوند بريتانيا-GBP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
115,834,شيلينگ تانزانيا-TZS,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
116,840,دلار ايالات متحده-USD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
117,858,پزو اروگوئه-UYU,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
118,860,صوم ازبكستان-UZS,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
119,882,تالا ساموا-WST,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
120,886,ريال يمن-YER,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
121,901,دلار تايوان-TWD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
122,934,منات تركمنستان-TMT,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
123,936,سدي غنا-GHS,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
124,937,بوليوار ونزوئلا-VEF,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
125,938,پوند سودان-SDG,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
126,941,دينار صربستان-RSD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
127,946,لئو روماني-RON,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
128,949,ليره تركيه-TRY,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
129,950,فرانك سي‌اف‌اي آفريقاي ميانه-XAF,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
130,951,دلار شرق كارائيب-XCD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
131,952,فرانك سي‌اف‌اي آفريقاي غربي-XOF,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
132,953,فرانك اقيانوس آرام-XPF,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
133,968,دلار سورينام-SRD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
134,971,افغاني افغانستان-AFN,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
135,972,ساماني تاجيكستان-TJS,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
136,974,روبل بلاروس-BYR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
137,975,لو بلغارستان-BGN,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
138,978,يورو اتحاديه اروپا-EUR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
139,980,هريونا اوكراين-UAH,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
140,981,لاري گرجستان-GEL,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
141,985,زلوتي لهستان-PLN,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
142,986,رئال برزيل-BRL,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
