SchedulingItemId,SchedulingRef,DateTime
322,-1,2019-02-05 00:00:00
323,-1,2019-02-06 00:00:00
324,-1,2019-02-07 00:00:00
325,-1,2019-02-08 00:00:00
326,-1,2019-02-09 00:00:00
327,-1,2019-02-10 00:00:00
328,-1,2019-02-11 00:00:00
329,-1,2019-02-12 00:00:00
330,-1,2019-02-13 00:00:00
331,-1,2019-02-14 00:00:00
332,-1,2019-02-15 00:00:00
333,-1,2019-02-16 00:00:00
334,-1,2019-02-17 00:00:00
335,-1,2019-02-18 00:00:00
336,-1,2019-02-19 00:00:00
337,-1,2019-02-20 00:00:00
338,-1,2019-02-21 00:00:00
339,-1,2019-02-22 00:00:00
340,-1,2019-02-23 00:00:00
341,-1,2019-02-24 00:00:00
342,-1,2019-02-25 00:00:00
343,-1,2019-02-26 00:00:00
344,-1,2019-02-27 00:00:00
345,-1,2019-02-28 00:00:00
346,-1,2019-03-01 00:00:00
347,-1,2019-03-02 00:00:00
348,-1,2019-03-03 00:00:00
349,-1,2019-03-04 00:00:00
350,-1,2019-03-05 00:00:00
351,-1,2019-03-06 00:00:00
352,-1,2019-03-07 00:00:00
353,-1,2019-03-08 00:00:00
354,-1,2019-03-09 00:00:00
355,-1,2019-03-10 00:00:00
356,-1,2019-03-11 00:00:00
357,-1,2019-03-12 00:00:00
358,-1,2019-03-13 00:00:00
359,-1,2019-03-14 00:00:00
360,-1,2019-03-15 00:00:00
361,-1,2019-03-16 00:00:00
362,-1,2019-03-17 00:00:00
363,-1,2019-03-18 00:00:00
364,-1,2019-03-19 00:00:00
365,-1,2019-03-20 00:00:00
366,-1,2019-03-21 00:00:00
367,-1,2019-03-22 00:00:00
368,-1,2019-03-23 00:00:00
369,-1,2019-03-24 00:00:00
370,-1,2019-03-25 00:00:00
371,-1,2019-03-26 00:00:00
372,-1,2019-03-27 00:00:00
373,-1,2019-03-28 00:00:00
374,-1,2019-03-29 00:00:00
375,-1,2019-03-30 00:00:00
376,-1,2019-03-31 00:00:00
377,-1,2019-04-01 00:00:00
378,-1,2019-04-02 00:00:00
379,-1,2019-04-03 00:00:00
380,-1,2019-04-04 00:00:00
381,-1,2019-04-05 00:00:00
382,-1,2019-04-06 00:00:00
383,-1,2019-04-07 00:00:00
384,-1,2019-04-08 00:00:00
385,-1,2019-04-09 00:00:00
386,-1,2019-04-10 00:00:00
387,-1,2019-04-11 00:00:00
388,-1,2019-04-12 00:00:00
389,-1,2019-04-13 00:00:00
390,-1,2019-04-14 00:00:00
391,-1,2019-04-15 00:00:00
392,-1,2019-04-16 00:00:00
393,-1,2019-04-17 00:00:00
394,-1,2019-04-18 00:00:00
395,-1,2019-04-19 00:00:00
396,-1,2019-04-20 00:00:00
397,-1,2019-04-21 00:00:00
398,-1,2019-04-22 00:00:00
399,-1,2019-04-23 00:00:00
400,-1,2019-04-24 00:00:00
401,-1,2019-04-25 00:00:00
402,-1,2019-04-26 00:00:00
403,-1,2019-04-27 00:00:00
404,-1,2019-04-28 00:00:00
405,-1,2019-04-29 00:00:00
406,-1,2019-04-30 00:00:00
407,-1,2019-05-01 00:00:00
408,-1,2019-05-02 00:00:00
409,-1,2019-05-03 00:00:00
410,-1,2019-05-04 00:00:00
411,-1,2019-05-05 00:00:00
412,-1,2019-05-06 00:00:00
413,-1,2019-05-07 00:00:00
414,-1,2019-05-08 00:00:00
415,-1,2019-05-09 00:00:00
416,-1,2019-05-10 00:00:00
417,-1,2019-05-11 00:00:00
418,-1,2019-05-12 00:00:00
419,-1,2019-05-13 00:00:00
420,-1,2019-05-14 00:00:00
421,-1,2019-05-15 00:00:00
422,-1,2019-05-16 00:00:00
423,-1,2019-05-17 00:00:00
424,-1,2019-05-18 00:00:00
425,-1,2019-05-19 00:00:00
426,-1,2019-05-20 00:00:00
427,-1,2019-05-21 00:00:00
428,-1,2019-05-22 00:00:00
429,-1,2019-05-23 00:00:00
430,-1,2019-05-24 00:00:00
431,-1,2019-05-25 00:00:00
432,-1,2019-05-26 00:00:00
433,-1,2019-05-27 00:00:00
434,-1,2019-05-28 00:00:00
435,-1,2019-05-29 00:00:00
436,-1,2019-05-30 00:00:00
437,-1,2019-05-31 00:00:00
438,-1,2019-06-01 00:00:00
439,-1,2019-06-02 00:00:00
440,-1,2019-06-03 00:00:00
441,-1,2019-06-04 00:00:00
442,-1,2019-06-05 00:00:00
443,-1,2019-06-06 00:00:00
444,-1,2019-06-07 00:00:00
445,-1,2019-06-08 00:00:00
446,-1,2019-06-09 00:00:00
447,-1,2019-06-10 00:00:00
448,-1,2019-06-11 00:00:00
449,-1,2019-06-12 00:00:00
450,-1,2019-06-13 00:00:00
451,-1,2019-06-14 00:00:00
452,-1,2019-06-15 00:00:00
453,-1,2019-06-16 00:00:00
454,-1,2019-06-17 00:00:00
455,-1,2019-06-18 00:00:00
456,-1,2019-06-19 00:00:00
457,-1,2019-06-20 00:00:00
458,-1,2019-06-21 00:00:00
459,-1,2019-06-22 00:00:00
460,-1,2019-06-23 00:00:00
461,-1,2019-06-24 00:00:00
462,-1,2019-06-25 00:00:00
463,-1,2019-06-26 00:00:00
464,-1,2019-06-27 00:00:00
465,-1,2019-06-28 00:00:00
466,-1,2019-06-29 00:00:00
467,-1,2019-06-30 00:00:00
468,-1,2019-07-01 00:00:00
469,-1,2019-07-02 00:00:00
470,-1,2019-07-03 00:00:00
471,-1,2019-07-04 00:00:00
472,-1,2019-07-05 00:00:00
473,-1,2019-07-06 00:00:00
474,-1,2019-07-07 00:00:00
475,-1,2019-07-08 00:00:00
476,-1,2019-07-09 00:00:00
477,-1,2019-07-10 00:00:00
478,-1,2019-07-11 00:00:00
479,-1,2019-07-12 00:00:00
480,-1,2019-07-13 00:00:00
481,-1,2019-07-14 00:00:00
482,-1,2019-07-15 00:00:00
483,-1,2019-07-16 00:00:00
484,-1,2019-07-17 00:00:00
485,-1,2019-07-18 00:00:00
486,-1,2019-07-19 00:00:00
487,-1,2019-07-20 00:00:00
488,-1,2019-07-21 00:00:00
489,-1,2019-07-22 00:00:00
490,-1,2019-07-23 00:00:00
491,-1,2019-07-24 00:00:00
492,-1,2019-07-25 00:00:00
493,-1,2019-07-26 00:00:00
494,-1,2019-07-27 00:00:00
495,-1,2019-07-28 00:00:00
496,-1,2019-07-29 00:00:00
497,-1,2019-07-30 00:00:00
498,-1,2019-07-31 00:00:00
499,-1,2019-08-01 00:00:00
500,-1,2019-08-02 00:00:00
501,-1,2019-08-03 00:00:00
502,-1,2019-08-04 00:00:00
503,-1,2019-08-05 00:00:00
504,-1,2019-08-06 00:00:00
505,-1,2019-08-07 00:00:00
506,-1,2019-08-08 00:00:00
507,-1,2019-08-09 00:00:00
508,-1,2019-08-10 00:00:00
509,-1,2019-08-11 00:00:00
510,-1,2019-08-12 00:00:00
511,-1,2019-08-13 00:00:00
512,-1,2019-08-14 00:00:00
513,-1,2019-08-15 00:00:00
514,-1,2019-08-16 00:00:00
515,-1,2019-08-17 00:00:00
516,-1,2019-08-18 00:00:00
517,-1,2019-08-19 00:00:00
518,-1,2019-08-20 00:00:00
519,-1,2019-08-21 00:00:00
520,-1,2019-08-22 00:00:00
521,-1,2019-08-23 00:00:00
522,-1,2019-08-24 00:00:00
523,-1,2019-08-25 00:00:00
524,-1,2019-08-26 00:00:00
525,-1,2019-08-27 00:00:00
526,-1,2019-08-28 00:00:00
527,-1,2019-08-29 00:00:00
528,-1,2019-08-30 00:00:00
529,-1,2019-08-31 00:00:00
530,-1,2019-09-01 00:00:00
531,-1,2019-09-02 00:00:00
532,-1,2019-09-03 00:00:00
533,-1,2019-09-04 00:00:00
534,-1,2019-09-05 00:00:00
535,-1,2019-09-06 00:00:00
